Ticker,0
SUNPHARMA.NS,369.53645985902716
HCLTECH.NS,287.992752048099
LT.NS,238.0510974987641
POWERGRID.NS,210.91605189778616
ICICIBANK.NS,194.46297760207486
SBIN.NS,184.76325619066122
ULTRACEMCO.NS,178.19733316388093
ITC.NS,170.39242454248088
INFY.NS,152.7880936986353
WIPRO.NS,145.9055858953417
RELIANCE.NS,143.84054992026685
MARUTI.NS,112.02173443962042
BAJFINANCE.NS,103.62242116379447
TCS.NS,86.84169682196062
AXISBANK.NS,75.64177696193912
HDFCBANK.NS,73.78746405707246
NESTLEIND.NS,58.544652863932924
KOTAKBANK.NS,34.31393958646575
ASIANPAINT.NS,33.463614726316415
HINDUNILVR.NS,14.354484319861507
